"Id";"Designator";"Packagex";"Quantity";"Designation";"Supplier and ref";
1;"R33,R31";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10k";; X
2;"R8,R25";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1k";;; x
3;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;; x
4;"C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"0.1uF";;; X
5;"C2";"CP_Radial_D8.0mm_P2.50mm";1;"100uF 50V";;; X
6;"C3,C4,C5";"CP_Radial_D5.0mm_P2.50mm";3;"10uF 25V";;;X
7;"C6";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"100n";;;x
8;"C8";"CP_Radial_D13.0mm_P5.00mm";1;"1000u 35V";;;x
9;"C9";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"25u";;;x
10;"C10";"CP_Radial_D13.0mm_P5.00mm";1;"100f 50V";;;x
11;"D1,D2";"LED_Rectangular_W3.0mm_H2.0mm";2;"LED";;;X
12;"D3,D5,D6";"D_DO-41_SOD81_P10.16mm_Horizontal";3;"1N4007";;;X
13;"D4";"D_T-1_P5.08mm_Horizontal";1;"10,1V";;;x
14;"D7,D8,D9,D10";"LED_D3.0mm";4;"LED";;;x
15;"D11";"STPS2045C";1;"STPS2045C-Shottky";;;X
16;"J1,J2";"WAGO_PCB_Klemme_1Pol";2;"POWER IN";;;x
17;"J3,J4,J5";"PinHeader_1x10_P2.54mm_Vertical";3;"Conn_01x10_Male";;;
18;"J6,J7,J8";"PinHeader_1x01_P2.54mm_Vertical";3;"Conn_01x01_Male";;;
19;"L1";"VER2923-Coil-Inductor";1;"VER2923-Coil-Inductor";;;x
20;"Q1";"IRF5305";1;"IRF5305";;;x
21;"Q2,Q3,Q4,Q5,Q6,Q7";"TO-220-3_Vertical";6;"IRF540N";;;x
22;"Q8";"STP75NF75-Mosfet";1;"STP75NF75";;;X
23;"Q9";"BC337-NPN-Transistor";1;"BC337-NPN-Transistor";;;X
24;"R1,R3,R7,R9,R10,R12";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";6;"47";;;X
25;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"100k";;;X
26;"R4,R5,R6,R11,R13,R15,R23,R29";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"10K";;;X
27;"R16,R17,R18,R22";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"R";;;
28;"R19,R30";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"330";;;X
29;"R20";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1K";;;X
30;"R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"15K";;;X
31;"R24";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"30K";;;X
32;"R26";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"2k";;;X
33;"R27";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"9K";;;x
34;"RV1";"Potentiometer_Bourns_3299W_Vertical";1;"10K";;;X
35;"U1";"IR2136-Inverter";1;"IR2136";;;X
36;"U2";"WAGO_PCB_Klemme_3Pol";1;"resetPort";;;
37;"U3";"WAGO_PCB_Klemme_2Pol";1;"Connector";;;
38;"U4,U7";"WAGO_PCB_Klemme_3Pol";2;"ConnectorLaborBerlin";;;
39;"U5";"TO-92_Inline";1;"L78L09_TO92";;;X
40;"U6";"DIP-8_W7.62mm";1;"UC3842_DIP8-edit";;;X
41;"U9,U16,U17,U21";"K12AB-Switch";4;"K12AB-Switch";;;X
42;"U15";"WAGO_PCB_Klemme_3Pol";1;"Power-Button";;;
43;"XA1";"Arduino_Nano_Socket";1;"Arduino_Nano_Socket-OpenSourceCelluloid-arduino";;;
